123.100061 seconds (2.32 G allocations: 148.698 GiB, 82.06% gc time, 3.98% compilation time: 1% of which was recompilation)
 37.090812 seconds (696.71 M allocations: 44.826 GiB, 86.52% gc time, 1.03% compilation time)
Time elapsed: 162.790911129 s
[1.7951960558473072, -0.26064814814814785, -0.583333333333333] 0.004586289215230861
[1.7951743145230623, -0.26064814814814785, -0.583333333333333] 0.004586276071133808
[1.7951851851851848, -0.2606420926936955, -0.583333333333333] 0.004586270806657815
[1.7951851851851848, -0.2606542036026002, -0.583333333333333] 0.004586294483648997
[1.7951851851851848, -0.26064814814814785, -0.5833272778788806] 0.004586278270933139
[1.7951851851851848, -0.26064814814814785, -0.5833393887877855] 0.004586287009298616
[1.7951851851851848, -0.26064814814814785, -0.583333333333333] 0.00458628263824271
[1.241746202419609, -0.49212705761316866, -0.884074074074074] 0.005507612671411863
[1.2417311638355342, -0.49212705761316866, -0.884074074074074] 0.005507668596627726
[1.2417386831275716, -0.4921210021587163, -0.884074074074074] 0.005507577553107277
[1.2417386831275716, -0.49213311306762103, -0.884074074074074] 0.005507703728134384
[1.2417386831275716, -0.49212705761316866, -0.8840680186196216] 0.005507590039717758
[1.2417386831275716, -0.49212705761316866, -0.8840801295285264] 0.005507691202264603
[1.2417386831275716, -0.49212705761316866, -0.884074074074074] 0.00550764064241369
[1.6879594668416122, -0.18185013717421106, -1.1216049382716047] 0.005145913517551983
[1.6879390242420635, -0.18185013717421106, -1.1216049382716047] 0.005145906560843974
[1.687949245541838, -0.18184408171975866, -1.1216049382716047] 0.005145904545638253
[1.687949245541838, -0.18185619262866345, -1.1216049382716047] 0.005145915532844794
[1.687949245541838, -0.18185013717421106, -1.1215981464439875] 0.005145909647184058
[1.687949245541838, -0.18185013717421106, -1.1216117300992219] 0.0051459104300168555
[1.687949245541838, -0.18185013717421106, -1.1216049382716047] 0.005145910040032105
[1.4220137358682132, -0.4186711010135649, -0.89278463648834] 0.005233470115984142
[1.4219965140936823, -0.4186711010135649, -0.89278463648834] 0.005233470141669808
[1.4220051249809478, -0.41866504555911255, -0.89278463648834] 0.005233468871602159
[1.4220051249809478, -0.4186771564680173, -0.89278463648834] 0.005233471383421392
[1.4220051249809478, -0.4186711010135649, -0.8927785810338876] 0.005233490117798639
[1.4220051249809478, -0.4186711010135649, -0.8927906919427925] 0.005233450148704096
[1.4220051249809478, -0.4186711010135649, -0.89278463648834] 0.0052334701301963455
[1.7301035136382317, -0.06911292422394921, -0.7218152720621853] 0.004384114334878671
[1.7300825606390622, -0.06911292422394921, -0.7218152720621853] 0.0043841059030542496
[1.730093037138647, -0.06910686876949682, -0.7218152720621853] 0.004384099062847523
[1.730093037138647, -0.06911897967840161, -0.7218152720621853] 0.004384121171368606
[1.730093037138647, -0.06911292422394921, -0.7218092166077329] 0.00438409897926335
[1.730093037138647, -0.06911292422394921, -0.7218213275166377] 0.004384121252348866
[1.730093037138647, -0.06911292422394921, -0.7218152720621853] 0.004384110112346976
[1.7934682430510234, 0.07618276770140103, -0.6257536960829138] 0.004256819767024174
[1.793446522652035, 0.07618276770140103, -0.6257536960829138] 0.00425679826129628
[1.7934573828515292, 0.07618882315585343, -0.6257536960829138] 0.00425680578883262
[1.7934573828515292, 0.07617671224694864, -0.6257536960829138] 0.004256812240357588
[1.7934573828515292, 0.07618276770140103, -0.6257476406284613] 0.004256805226006427
[1.7934573828515292, 0.07618276770140103, -0.6257597515373662] 0.004256812809823622
[1.7934573828515292, 0.07618276770140103, -0.6257536960829138] 0.00425680901239923
[1.5623724244981165, -0.29510196414971257, -0.8444982556859555] 0.004934737938304666
[1.562353502862587, -0.29510196414971257, -0.8444982556859555] 0.004934754567586776
[1.5623629636803518, -0.2950959086952602, -0.8444982556859555] 0.004934733383977526
